不能承受的生命之轻,,,https://book.douban.com/subject/1017143/,,,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,,,8.5,,,143046
白鹿原,,,https://book.douban.com/subject/1085799/,,,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,,,8.6,,,49188
欢迎来到猴子馆,,,https://book.douban.com/subject/27068817/,,,[美] 库尔特·冯内古特 / 王宇光 / 中信出版集团/楚尘文化 / 2017-7-20 / 48.00元,,,8.7,,,633
繁花,,,https://book.douban.com/subject/22714154/,,,金宇澄 / 上海文艺出版社 / 2013-3-1 / CNY 48.00,,,8.8,,,11596
贝伦与露西恩,,,https://book.douban.com/subject/27035185/,,,[英] J.R.R. 托尔金 著、[英] 克里斯托弗·托尔金 编、[英] 艾伦·李 图 / 石中歌、杜蕴慈、邓嘉宛 / 世纪文景/上海人民出版社 / 2017-6 / 69.80元,,,9.1,,,298
动物农场,,,https://book.douban.com/subject/2035179/,,,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,,,9.2,,,37030
七根凶简:渔线人偶·仙人指路,,,https://book.douban.com/subject/27035382/,,,尾鱼 / 中国友谊出版公司 / 2017-7 / 39.80元,,,8.1,,,2897
北鸢,,,https://book.douban.com/subject/26821461/,,,葛亮 / 人民文学出版社 / 2016-10-1 / 45.00元,,,8.0,,,7243
毒木圣经,,,https://book.douban.com/subject/26630480/,,,[美] 芭芭拉·金索沃 / 张竝 / 新经典文化/南海出版公司 / 2017-3 / 59.00元,,,8.7,,,1869
一个叫欧维的男人决定去死,,,https://book.douban.com/subject/26672693/,,,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,,,9.1,,,13376
吃鲷鱼让我打嗝,,,https://book.douban.com/subject/26893260/,,,[美] 杰西·艾森伯格 / 吴文忠 / 人民文学出版社 / 2017-4 / 49.00元,,,7.9,,,2505
我脑袋里的怪东西,,,https://book.douban.com/subject/26701959/,,,[土耳其] 奥尔罕·帕慕克 / 陈竹冰 / 上海人民出版社 / 2016-2 / 49.00元,,,8.6,,,2906
无声告白,,,https://book.douban.com/subject/26382433/,,,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,,,8.2,,,56495
悉达多,,,https://book.douban.com/subject/3406401/,,,[德] 赫尔曼·黑塞 / 杨玉功 译、丁君君 校 / 上海人民出版社 / 2009-3 / 20.00,,,9.0,,,14579
黄金时代:时代三部曲,,,https://book.douban.com/subject/1089243/,,,王小波 / 花城出版社 / 1999-3 / 19.00元,,,8.8,,,64821
肖申克的救赎,,,https://book.douban.com/subject/1829226/,,,[美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元,,,9.1,,,42518
台北人,,,https://book.douban.com/subject/5337248/,,,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,,,8.9,,,16305
岛上书店,,,https://book.douban.com/subject/26340138/,,,[美] 加布瑞埃拉·泽文 / 孙仲旭、李玉瑶 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00,,,7.6,,,86724
飘,,,https://book.douban.com/subject/1068920/,,,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,,,9.3,,,85457
树上的男爵,,,https://book.douban.com/subject/6789605/,,,(意)卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,,,9.1,,,12496
牧羊少年奇幻之旅,,,https://book.douban.com/subject/3608208/,,,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,,,8.6,,,62397
美丽新世界,,,https://book.douban.com/subject/1321789/,,,[英] 阿道司·赫胥黎 / 王波 / 重庆出版社 / 2005-6 / 20.00元,,,8.6,,,12542
