天使爱美丽,,,https://movie.douban.com/subject/1292215/,,,让-皮埃尔·热内,,,奥黛丽·塔图、马修·卡索维茨、吕菲斯、洛莱拉·克拉沃塔、塞尔日·梅兰,,,8.7,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,,,1292215,,,45,,,1278,,,1900
机器人总动员,,,https://movie.douban.com/subject/2131459/,,,安德鲁·斯坦顿,,,本·贝尔特、艾丽莎·奈特、杰夫·格尔林、佛莱德·威拉特、西格妮·韦弗,,,9.3,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,,,2131459,,,45,,,3000,,,4447
剪刀手爱德华,,,https://movie.douban.com/subject/1292370/,,,蒂姆·波顿,,,约翰尼·德普、薇诺娜·瑞德、黛安·韦斯特、安东尼·迈克尔·豪尔、凯西·贝克,,,8.7,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,,,1292370,,,45,,,498,,,755
飞屋环游记,,,https://movie.douban.com/subject/2129039/,,,彼特·道格特、鲍勃·彼德森,,,爱德华·阿斯纳、克里斯托弗·普卢默、乔丹·长井、鲍勃·彼德森、戴尔里·林多,,,8.9,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,,,2129039,,,45,,,2025,,,3000
放牛班的春天,,,https://movie.douban.com/subject/1291549/,,,克里斯托夫·巴拉蒂,,,热拉尔·朱尼奥、让-巴蒂斯特·莫尼耶、弗朗索瓦·贝莱昂、凯德·麦拉德、玛丽·布奈尔,,,9.2,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,,,1291549,,,45,,,491,,,655
楚门的世界,,,https://movie.douban.com/subject/1292064/,,,彼得·威尔,,,金·凯瑞、劳拉·琳妮、艾德·哈里斯、诺亚·艾默里奇、娜塔莎·麦克艾霍恩,,,9.1,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,,,1292064,,,45,,,997,,,1500
星际穿越,,,https://movie.douban.com/subject/1889243/,,,克里斯托弗·诺兰,,,马修·麦康纳、安妮·海瑟薇、杰西卡·查斯坦、卡西·阿弗莱克、迈克尔·凯恩,,,9.2,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,,,1889243,,,45,,,4858,,,7200
疯狂动物城,,,https://movie.douban.com/subject/25662329/,,,拜伦·霍华德、瑞奇·摩尔、杰拉德·布什,,,金妮弗·古德温、杰森·贝特曼、伊德里斯·艾尔巴、珍妮·斯蕾特、内特·托伦斯,,,9.1,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,,,25662329,,,45,,,1418,,,2005
初恋这件小事,,,https://movie.douban.com/subject/4739952/,,,普特鹏·普罗萨卡·那·萨克那卡林、华森·波克彭,,,平采娜·乐维瑟派布恩、马里奥·毛瑞尔、苏达拉·布查蓬、雅尼卡·桑普蕾舞、诺特·阿查拉那·阿瑞亚卫考,,,8.3,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,,,4739952,,,40,,,1280,,,1829
复仇者联盟3：无限战争,,,https://movie.douban.com/subject/24773958/,,,安东尼·罗素、乔·罗素,,,小罗伯特·唐尼、克里斯·海姆斯沃斯、克里斯·埃文斯、马克·鲁弗洛、乔什·布洛林,,,8.2,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg,,,24773958,,,40,,,1968,,,2756
